country,afme,eurca,aoc,nam,csam,latitude,lnsubsoil_1994,lnsubsoil_2000,lnnatcap_1994,lnnatcap_2000,agrixp,minxp,natxp,lhcpc,sxp,lallminpc,pres70s,maj70s,rule,goveffect,open5060s,lgdp70,g7000
Afghanistan,0,0,1,0,0,0.37,,,,,0.0297708,0.0106274,0.0403982,2.7792,,-9.16492,1,,-1.19,,,,
Albania,0,1,0,0,0,0.46,,5.703783,,8.266679,,,,,,-6.588818,1,,-0.32,-0.31,,,
Algeria,1,0,0,0,0,0.31,,9.364777,,9.487972,0.0002601,0.2277264,0.2279865,6.5107,0.19,-4.787439,1,1,-0.62,-0.77,0.61612,6.778796,6.461267
Angola,1,0,0,0,0,0.14,,,,,,,,5.7324,,-5.083215,1,,-1.44,-1.13,0.39657,6.873009,
Antigua and Barbuda,0,0,0,0,1,0.19,,,,7.313221,0.010373,0.0024273,0.0128003,,,,,,,,,,
Argentina,0,0,0,0,1,0.38,6.253829,8.087333,9.195227,9.241063,0.0043034,0.0032191,0.0075225,4.5187,0.05,-6.324195,1,0,0.28,0.45,0.12259,7.927007,4.809399
Armenia,0,1,0,0,0,0.44,,,,,,,,,,,,,-0.46,-0.32,,,
Australia,0,0,1,0,0,0.3,9.11383,9.349319,10.47277,10.09274,0.0161047,0.0390605,0.0551652,5.0642,0.1,-1.672493,0,1,1.89,1.96,0.314465,8.407646,6.010288
Austria,0,1,0,0,0,0.52,5.438079,6.184149,8.931949,8.878219,0.0135347,0.0107988,0.0243335,2.8585,0.04,-7.559307,0,0,1.98,1.92,0.44649,8.141568,6.5949
Azerbaijan,0,1,0,0,0,0.45,,,,,,,,,,,,,-0.86,-1.05,,,
Bahamas,0,0,0,0,1,0.27,,,,,0.0016369,0.005739,0.0073759,,0.11,,0,1,0.8,0.71,,,
Bahrain,1,0,0,0,0,0.29,,,,,0.0021393,0.4656367,0.467776,,0.4,-3.387312,1,,0.74,0.45,,,
Bangladesh,0,0,1,0,0,0.27,2.995732,4.41884,8.042378,6.867974,0.0098646,0.0006733,0.0083302,2.4419,0.01,-9.919099,0,1,-0.68,-0.67,0.1912636,5.797637,5.608288
Barbados,0,0,0,0,1,0.15,,6.895683,,7.235619,0.0004596,0.0362344,0.036694,,0.17,-8.541836,0,1,-0.28,,1.22741,7.992228,5.930775
Belarus,0,1,0,0,0,0.59,,,,,,,,,,,,,-1.01,-1.2,,,
Belgium,0,1,0,0,0,0.56,2.302585,,7.467371,,0.0101888,0.0589029,0.0690917,-4.6052,0.11,-9.012552,0,0,1.65,1.78,0.806015,8.215321,6.372166
Belize,0,0,0,0,1,0.19,,,,8.846497,0.0135624,0.007382,0.0321073,,0.34,-14.51175,0,,0.7,-0.39,,,
Benin,1,0,0,0,0,0.1,2.302585,2.70805,7.565275,7.195187,0.0167592,0.0010559,0.0178151,1.0539,0.08,-9.90116,1,,-0.01,0.01,0.2556364,5.884964,4.085064
