country,countrycode,all_mean,intention,behavior,ggatt,eu_dum,compet,distance,competition,export_pgdp,export,exportnn,gdp,gov,eezcatch,treaty,bio,lat,lon
Angola,AGO,1.1609977,1.7248678,.98412699,1,0,.077448934,1.4100724,.077448934,.0012944645,-6.6496582,-7.5917549,6.777523,-1.5885714,1.0034243,39,47.299999,-8.833333,13.25
Argentina,ARG,2.4013605,2.9523809,2.6507936,1,0,.077002965,.29500359,.077002965,.002759848,-5.8925796,-5.73174,8.6848583,-.21714285,.91988593,114,49.799999,-34.666668,-58.5
Australia,AUS,5.9149661,7.0634918,6.7380953,1,0,.025668357,.033383459,.025668357,.0021541594,-6.1403546,-6.3929143,10.03883,1.0442858,.68325359,139,49.5,-33.883335,151.16667
Bangladesh,BGD,1.4501134,1.3915344,1.9920635,1,0,.025668357,1.2757771,.025668357,.0073934356,-4.9071627,-5.1304412,5.8253236,-.95428568,1,58,25.299999,23.700001,90.366669
Brazil,BRA,2.590703,3.164021,2.8809524,1,0,.077002965,.20981272,.077002965,.00037974189,-7.876019,-8.1098661,8.2153511,-.18142857,.86061382,113,50.5,-23.530001,-46.630001
Canada,CAN,6.015873,7.2275133,6.8095236,1,0,.055875968,.19326805,.055875968,.0038522992,-5.5590849,-5.7902656,10.050381,1.0628572,.87711751,141,55.200001,43.650002,-79.379997
Chile,CHL,4.2199545,5.4338627,4.4126987,1,0,.0040741721,.051331084,.0040741721,.024470516,-3.7102864,-3.9929709,8.416503,.67285717,.63985467,119,68.400002,-33.5,-70.666664
China,CHN,3.7210884,4.7460318,3.9365079,1,0,.002785176,2.685643,.002785176,.0039354665,-5.5377259,-6.2774172,6.7256932,-.20999999,.54955178,93,68.099998,39.916668,116.43333
Germany,DEU,4.1326532,5.3333335,4.3095236,1,1,.015381461,.028098021,.015381461,.00035067365,-7.9556546,-7.9843764,10.172837,.97857141,.050922826,272,21.1,51.466999,6.9829998
Denmark,DNK,4.8083901,6.5291004,4.6904764,1,1,.015381461,.0020861474,.015381461,.015362247,-4.1758423,-4.3454466,10.401867,1.1242857,.64272523,221,40.900002,55.666668,12.583333
Ecuador,ECU,2.249433,3.2962964,1.9523809,1,0,.0040741721,.051561862,.0040741721,.038641106,-3.2534387,-3.4567833,7.4460735,-.81,.27355456,93,64.5,-.23333333,-78.5
Egypt. Arab Rep.,EGY,1.5351474,1.7407408,1.8412699,1,0,.039522566,.25738853,.039522566,.000095687697,-9.2544212,-9.5995684,6.9700155,-.75714284,.31034344,116,23.9,30.049999,31.25
